scorer,group,auroc,ci_low,ci_high
marginal_diagonal,near_ood,72.9858642962662,72.36647632495648,73.53691447095605
marginal_diagonal,far_ood,60.886596524109585,60.539880135334656,61.22766532284084
marginal_full,near_ood,97.87212053619663,97.74472819016215,98.01223802456562
marginal_full,far_ood,96.90047997336893,96.79338024649617,97.00549742067425
class_conditional_diagonal,near_ood,96.24289647487537,96.02618069068197,96.45465112381146
class_conditional_diagonal,far_ood,90.06089349425379,89.82108350911862,90.27059374188283
class_conditional_full,near_ood,98.20178316354658,98.0844541055155,98.32537456483185
class_conditional_full,far_ood,97.72382487112804,97.63418936337901,97.81471421633476
rmd,near_ood,97.46071829574024,97.26536634909574,97.66900498208764
rmd,far_ood,98.52230134420938,98.38346038817575,98.65596079923233
rmd_pp,near_ood,97.58080734930684,97.38540569227013,97.78939929653451
rmd_pp,far_ood,98.5052679462522,98.36618211416541,98.64556050167718
knn_normalized,near_ood,98.28765033121685,98.16174040341582,98.40303501057355
knn_normalized,far_ood,98.75557833667065,98.66009251634827,98.84977450747753
knn_unnormalized,near_ood,97.3053351757988,97.1322151635846,97.47471544218023
knn_unnormalized,far_ood,91.99521406437547,91.77589815683437,92.23016255775042
pca_residual_all_id,near_ood,97.50326925156796,97.3538554709919,97.66082094622351
pca_residual_all_id,far_ood,98.76966813762995,98.69319948157936,98.84662281306083
pca_residual_class_mean,near_ood,93.57007430952595,93.2642159966506,93.85446592832302
pca_residual_class_mean,far_ood,84.00945380410482,83.70925049319283,84.29102969887127
pca_residual_all_id_l2,near_ood,97.50575152190237,97.35735291684291,97.66609951664343
pca_residual_all_id_l2,far_ood,99.59435681859038,99.54108254628976,99.64365655664481
pca_residual_class_mean_l2,near_ood,97.34901994251727,97.17673596006942,97.51507409790442
pca_residual_class_mean_l2,far_ood,98.1711051323898,98.03324978160558,98.29139888194062
pca_residual_class_mean_whitened,near_ood,97.92109401128425,97.79533799450738,98.05825456964385
pca_residual_class_mean_whitened,far_ood,97.03095435340867,96.92579810362086,97.13402847799026
