dataset,split_role,scorer,variant,hyperparams,protocol,auroc,auroc_ci_low,auroc_ci_high,fpr95,seed,repo_commit,openood_commit,timestamp
cifar100+tin,near_ood,marginal_diagonal,,{},standard,72.43619662954802,71.80914269834653,72.99581785069175,75.36473530637767,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
mnist+svhn+texture+places365,far_ood,marginal_diagonal,,{},standard,53.41316160132749,52.960212651698356,53.85482405871718,84.344655760702,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
cifar100+tin,near_ood,marginal_full,,{},standard,97.75648550652718,97.62364673276564,97.90408070161509,10.790210206633716,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
mnist+svhn+texture+places365,far_ood,marginal_full,,{},standard,97.37985854881016,97.27875781679374,97.48409592280585,10.250096809311229,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
cifar100+tin,near_ood,class_conditional_diagonal,,{},standard,96.11546907772419,95.89742435670946,96.3335284956695,20.270350741380337,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
mnist+svhn+texture+places365,far_ood,class_conditional_diagonal,,{},standard,90.75225202406554,90.47762230851849,90.98579759709953,31.96533861339841,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
cifar100+tin,near_ood,class_conditional_full,,{},standard,98.1054318267532,97.98258645301944,98.23747561814777,9.247900911093907,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
mnist+svhn+texture+places365,far_ood,class_conditional_full,,{},standard,98.08187737811971,97.99545665581266,98.17522939950625,8.140019142671353,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
cifar100+tin,near_ood,rmd,,{},standard,97.46163844723661,97.26998157300991,97.67248310307866,9.587328053355565,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
mnist+svhn+texture+places365,far_ood,rmd,,{},standard,98.81852877448748,98.68798856229446,98.93960126741045,1.8952705911578394,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
cifar100+tin,near_ood,rmd_pp,,{},standard,97.58218669154476,97.38736097878085,97.78951682910207,9.057345322455786,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
mnist+svhn+texture+places365,far_ood,rmd_pp,,{},standard,98.74997032804758,98.61684234816768,98.88210714903276,1.980024403252793,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
cifar100+tin,near_ood,knn_normalized,,{},standard,98.20860907653322,98.08009534395946,98.3290201770579,8.741737628773894,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
mnist+svhn+texture+places365,far_ood,knn_normalized,,{},standard,98.74220707369604,98.62606418193494,98.85271151718254,5.9663761169602605,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
cifar100+tin,near_ood,knn_unnormalized,,{},standard,97.19312709660771,97.01390198131496,97.3687759780861,13.541356517596617,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
mnist+svhn+texture+places365,far_ood,knn_unnormalized,,{},standard,91.87794265803866,91.60924796619265,92.15713959334406,36.3842270233146,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
cifar100+tin,near_ood,pca_residual_all_id,,{},standard,97.37317103025732,97.2160457234165,97.54108636535065,12.386113261477997,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
mnist+svhn+texture+places365,far_ood,pca_residual_all_id,,{},standard,98.92242688157116,98.84274099632815,99.00076140421805,5.1400264490344645,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
cifar100+tin,near_ood,pca_residual_class_mean,,{},standard,93.36604570687523,93.05426136551606,93.65700372840536,33.22217590662776,20260909,dfd11ac7bee4e349532c56019ab030a568eca85d,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-09
