scorer,group,auroc,ci_low,ci_high
marginal_diagonal,near_ood,84.21459802751946,83.55466825579308,84.85838934697742
marginal_diagonal,far_ood,71.44617025168134,70.93838553801768,71.92954086304096
marginal_full,near_ood,97.08716635392969,96.88981844103746,97.28951988287938
marginal_full,far_ood,95.95583821598626,95.78574596634435,96.12466291827909
class_conditional_diagonal,near_ood,97.270375519742,97.03251847882578,97.49250264002461
class_conditional_diagonal,far_ood,91.13008391145134,90.8199128563843,91.42434828714204
class_conditional_full,near_ood,97.31289722264368,97.13367253137251,97.49554285729796
class_conditional_full,far_ood,96.72069115198055,96.56756570125293,96.87677841241205
rmd,near_ood,86.87253206024319,86.33445284892733,87.40476951801101
rmd,far_ood,90.4967372344343,90.07192672639435,90.89087153963025
rmd_pp,near_ood,87.97239439419911,87.46337339644603,88.47252764078732
rmd_pp,far_ood,90.98796069566122,90.57942514516843,91.37203860550483
knn_normalized,near_ood,96.4676362092703,96.24396034611887,96.687360287719
knn_normalized,far_ood,97.17426900105167,96.99909127987837,97.34007262414804
knn_unnormalized,near_ood,96.96162514124198,96.7069182762275,97.20847204783118
knn_unnormalized,far_ood,89.92762203185987,89.54564655378789,90.29967538694801
pca_residual_all_id,near_ood,95.55732155190115,95.31996519990949,95.80215573436121
pca_residual_all_id,far_ood,97.61936901777673,97.48610774087798,97.75123603066416
pca_residual_class_mean,near_ood,95.82790364437015,95.50526120382649,96.1621194083216
pca_residual_class_mean,far_ood,86.69760563112412,86.29391347622857,87.08247981792523
pca_residual_all_id_l2,near_ood,94.21454367705371,93.9335048898272,94.51373899882877
pca_residual_all_id_l2,far_ood,98.61528676114902,98.50748095719956,98.71993454779332
pca_residual_class_mean_l2,near_ood,96.59847731732451,96.37054152553858,96.81309853062355
pca_residual_class_mean_l2,far_ood,97.67332138130058,97.50753267051245,97.8321990659063
pca_residual_class_mean_whitened,near_ood,97.1194504789929,96.92433947012937,97.32068135736563
pca_residual_class_mean_whitened,far_ood,96.074364381958,95.90730515063453,96.24153745270141
