dataset,split_role,scorer,variant,hyperparams,protocol,auroc,auroc_ci_low,auroc_ci_high,fpr95,seed,repo_commit,openood_commit,timestamp
cifar100+tin,near_ood,marginal_diagonal,,{},standard,72.43619662954802,71.80914269834653,72.99581785069175,75.36473530637767,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,marginal_diagonal,,{},standard,53.41316160132749,52.960212651698356,53.85482405871718,84.344655760702,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,marginal_diagonal,,{},full_spectrum,83.83859007215871,83.17170992201784,84.49371766540253,59.59626034657298,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,marginal_diagonal,,{},full_spectrum,67.84836398812179,67.15350532668278,68.50285530744034,76.45378360013736,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,marginal_full,,{},standard,97.75648550652718,97.62364673276564,97.90408070161509,10.790210206633716,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,marginal_full,,{},standard,97.37985854881016,97.27875781679374,97.48409592280585,10.250096809311229,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,marginal_full,,{},full_spectrum,96.93317275804122,96.72733935065585,97.14381180166257,13.714047519799916,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,marginal_full,,{},full_spectrum,96.52504697095418,96.35755444491193,96.69191009562594,12.844586350252435,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,class_conditional_diagonal,,{},standard,96.11546907772419,95.89742435670946,96.3335284956695,20.270350741380337,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,class_conditional_diagonal,,{},standard,90.75225202406554,90.47762230851849,90.98579759709953,31.96533861339841,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
